Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,104.34.140.196,1,1,1,0.00%,5,0:06:57,0.00%,0,$0.00 
Windows,104.245.131.241,1,1,1,0.00%,8,0:05:32,0.00%,0,$0.00 
Android,104.176.121.100,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Android,104.12.147.162,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,103.111.179.138,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,101.93.97.15,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,100.35.149.7,1,1,1,0.00%,2,0:02:20,0.00%,0,$0.00 
Android,100.2.7.49,1,1,1,0.00%,7,0:07:21,0.00%,0,$0.00 
iOS,100.1.210.47,1,1,1,0.00%,7,0:12:59,0.00%,0,$0.00 
Android,100.1.197.247,1,1,2,50.00%,4.5,0:06:01,0.00%,0,$0.00 
iOS,100.1.116.150,1,1,1,0.00%,8,0:13:55,0.00%,0,$0.00 
iOS,100.0.48.40,1,1,1,0.00%,3,0:01:27,0.00%,0,$0.00 
iOS,1.127.30.239,1,1,1,0.00%,7,0:03:25,0.00%,0,$0.00 
,,670,648,714,24.37%,5.68,0:06:09,0.00%,0,$0.00 
,,,,,,,,,,
Day Index,Users,,,,,,,,,
9/23/2021,65,,,,,,,,,
9/24/2021,49,,,,,,,,,
9/25/2021,37,,,,,,,,,
9/26/2021,63,,,,,,,,,
9/27/2021,47,,,,,,,,,
9/28/2021,24,,,,,,,,,
9/29/2021,16,,,,,,,,,
9/30/2021,65,,,,,,,,,
10/1/2021,35,,,,,,,,,
10/2/2021,38,,,,,,,,,
10/3/2021,22,,,,,,,,,
10/4/2021,7,,,,,,,,,
10/5/2021,6,,,,,,,,,
10/6/2021,19,,,,,,,,,
10/7/2021,40,,,,,,,,,
10/8/2021,27,,,,,,,,,
10/9/2021,32,,,,,,,,,
10/10/2021,16,,,,,,,,,
10/11/2021,13,,,,,,,,,
10/12/2021,8,,,,,,,,,
10/13/2021,2,,,,,,,,,
10/14/2021,1,,,,,,,,,
10/15/2021,5,,,,,,,,,
10/16/2021,21,,,,,,,,,
10/17/2021,20,,,,,,,,,
10/18/2021,13,,,,,,,,,
10/19/2021,4,,,,,,,,,
10/20/2021,17,,,,,,,,,
10/21/2021,26,,,,,,,,,
10/22/2021,25,,,,,,,,,
10/23/2021,25,,,,,,,,,
10/24/2021,16,,,,,,,,,
10/25/2021,1,,,,,,,,,
10/26/2021,2,,,,,,,,,
10/27/2021,2,,,,,,,,,
10/28/2021,2,,,,,,,,,
10/29/2021,0,,,,,,,,,
10/30/2021,0,,,,,,,,,
10/31/2021,0,,,,,,,,,
11/1/2021,2,,,,,,,,,
11/2/2021,1,,,,,,,,,
,814,,,,,,,,,
