Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,73.248.196.67,2,2,2,0.00%,5,0:07:38,0.00%,0,$0.00 
Windows,73.236.244.138,1,1,1,0.00%,2,0:02:21,0.00%,0,$0.00 
iOS,73.230.159.100,1,1,1,0.00%,3,0:01:16,0.00%,0,$0.00 
Android,73.22.23.169,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,73.216.48.91,2,2,2,50.00%,3.5,0:02:20,0.00%,0,$0.00 
iOS,73.196.201.60,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Android,73.182.217.127,1,1,1,0.00%,16,0:09:59,0.00%,0,$0.00 
Windows,73.181.216.235,1,1,1,0.00%,6,0:09:06,0.00%,0,$0.00 
Android,73.175.215.190,1,1,1,0.00%,16,0:12:02,0.00%,0,$0.00 
Android,73.174.250.149,1,1,1,0.00%,3,0:02:25,0.00%,0,$0.00 
iOS,73.169.223.100,1,1,1,0.00%,2,0:02:01,0.00%,0,$0.00 
Android,73.168.155.44,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,73.16.205.220,1,1,1,0.00%,15,0:10:02,0.00%,0,$0.00 
Android,73.154.51.68,1,1,1,0.00%,2,0:01:16,0.00%,0,$0.00 
Android,73.15.115.187,1,1,1,0.00%,9,0:25:48,0.00%,0,$0.00 
Android,73.147.52.48,1,1,1,0.00%,26,0:32:06,0.00%,0,$0.00 
iOS,73.136.94.35,1,1,1,0.00%,11,0:12:07,0.00%,0,$0.00 
Android,73.135.130.127,1,1,1,0.00%,6,0:05:18,0.00%,0,$0.00 
iOS,73.131.117.35,1,1,1,0.00%,26,0:40:39,0.00%,0,$0.00 
Windows,73.13.3.153,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,73.121.213.202,1,1,1,0.00%,2,0:02:15,0.00%,0,$0.00 
Android,73.11.8.10,2,2,4,0.00%,6.5,0:21:29,0.00%,0,$0.00 
Android,73.109.56.253,1,1,1,0.00%,2,0:02:10,0.00%,0,$0.00 
Android,73.108.31.82,1,1,1,0.00%,3,0:02:24,0.00%,0,$0.00 
Android,73.1.1.113,1,1,1,0.00%,3,0:00:34,0.00%,0,$0.00 
Android,72.86.46.143,1,1,1,0.00%,5,0:01:07,0.00%,0,$0.00 
Android,72.81.218.221,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Android,72.74.219.122,1,1,2,0.00%,3.5,0:08:40,0.00%,0,$0.00 
iOS,72.46.177.214,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,72.26.4.168,1,0,1,0.00%,2,0:00:55,0.00%,0,$0.00 
Android,72.230.71.244,1,1,1,0.00%,5,0:04:06,0.00%,0,$0.00 
Android,72.230.242.29,1,1,1,0.00%,5,0:01:40,0.00%,0,$0.00 
Android,72.227.130.60,1,1,1,0.00%,2,0:01:48,0.00%,0,$0.00 
Android,72.224.13.18,1,1,1,0.00%,5,0:02:01,0.00%,0,$0.00 
Android,72.220.69.176,1,1,1,0.00%,3,0:02:10,0.00%,0,$0.00 
Macintosh,72.220.148.171,1,1,1,0.00%,8,0:05:01,0.00%,0,$0.00 
Android,72.202.206.47,1,1,1,0.00%,13,0:15:36,0.00%,0,$0.00 
Android,72.196.151.16,1,1,1,0.00%,11,0:06:14,0.00%,0,$0.00 
Android,72.193.21.23,1,1,1,0.00%,5,0:12:35,0.00%,0,$0.00 
Android,72.188.247.175,1,1,1,0.00%,14,0:13:32,0.00%,0,$0.00 
Android,72.174.26.36,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,72.129.145.43,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,71.95.144.171,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,71.92.35.228,1,1,1,0.00%,5,0:10:44,0.00%,0,$0.00 
Android,71.91.163.56,1,1,1,0.00%,6,0:24:34,0.00%,0,$0.00 
Android,71.81.210.174,1,1,1,0.00%,18,0:19:51,0.00%,0,$0.00 
iOS,71.67.244.85,1,1,2,0.00%,5,0:02:09,0.00%,0,$0.00 
iOS,71.63.151.28,1,1,1,0.00%,3,0:01:56,0.00%,0,$0.00 
Android,71.49.142.72,1,1,1,0.00%,5,0:05:40,0.00%,0,$0.00 
Android,71.47.70.149,1,1,1,0.00%,21,0:26:27,0.00%,0,$0.00 
Android,71.45.41.119,1,1,1,0.00%,8,0:23:11,0.00%,0,$0.00 
Android,71.28.113.117,1,0,1,0.00%,3,0:00:39,0.00%,0,$0.00 
Macintosh,71.255.32.18,1,1,1,0.00%,6,0:05:26,0.00%,0,$0.00 
Android,71.240.196.40,1,1,1,0.00%,11,0:15:50,0.00%,0,$0.00 
